word,count
perturbed,1
capitol,1
grace,13
ranck,1
vnforc,1
comrade,1
tread,1
reuenge,11
cataplasme,1
tyrant,1
perfections,1
pester,1
done,23
proue,3
qualifies,1
blush,2
lash,1
length,4
play,43
commings,1
gilded,1
expell,2
thus,41
dislike,1
sure,7
helpfull,1
cure,1
after,13
ended,1
skirts,1
nights,4
sorrow,6
gratis,1
musty,1
if,114
stubbornnesse,1
beteene,1
equall,2
groundlings,1
showes,1
venom,1
mountaines,2
draughts,1
slight,1
cabin,1
to,685
eight,1
worthy,1
reechie,1
stew,1
damnation,1
decayer,1
strings,1
quoth,1
mar,31
strangely,2
bestow,5
oathes,1
coated,1
drown,6
trade,2
froward,1
husband,8
ending,1
wary,2
liuer,1
rew,2
vndertakings,1
haunt,1
phrase,9
almost,7
working,2
forg,1
skinnes,2
promontory,1
meane,12
vngracious,1
pompe,1
carried,1
cosin,3
em,2
seas,2
drop,1
cleerely,1
lone,1
forestall,1
aeneas,1
absolute,1
closset,2
muddy,2
sorrowes,1
cousend,1
deuill,1
vow,2
worse,3
oath,2
turne,4
screen,1
vncharge,1
moode,1
mistake,1
seales,1
challice,1
mirrour,1
manet,3
wit,4
assaile,1
dil,1
begin,6
greene,3
married,3
romage,1
likes,3
exclaim,1
clossets,1
vndiscouered,1
purer,1
obsequies,1
desire,7
raines,1
controuersie,1
return,4
soil,1
passages,1
owner,1
profit,2
puts,2
millions,1
foure,4
spirit,14
mountaine,3
laid,2
tugging,1
theft,1
comes,23
prate,1
repent,3
containing,1
affaires,1
imploy,1
nettles,1
link,1
ministers,1
giue,59
come,104
bird,2
vertue,13
choyse,1
saint,1
hideous,1
d,223
falles,3
vnsanctified,1
hidious,1
hiperion,1
work,1
zone,1
empire,1
returnes,2
holla,1
fauour,4
m,5
all,109
tongues,2
frowningly,1
poesie,1
foredoes,1
bin,7
resolue,1
reuengefull,1
soueraignty,1
would,73
imaginations,1
madnesse,21
purpos,1
cloake,1
knowe,1
ist,4
lowd,2
confines,1
deerest,1
wringing,1
strewments,1
known,1
frost,1
sigh,2
affaire,3
aboord,3
toy,2
encrease,1
whilst,3
bak,2
combatted,1
foode,1
six,1
recognizances,1
hum,1
euerlasting,1
mourning,1
bat,1
ministring,1
affectation,1
gently,1
vnkennell,1
pursie,1
tame,3
himselfe,20
mingled,1
bodies,4
expend,1
protestation,1
attends,1
louer,1
flame,2
royally,1
bapt,1
and,863
reputation,1
propheticke,1
roome,2
boule,1
rosincran,1
pronounc,2
that,377
none,13
short,5
sort,2
shreds,1
impotence,1
frame,4
needs,6
bone,1
light,8
baser,2
obeyes,1
rages,1
milche,1
remaine,1
told,5
consonancy,1
article,1
nods,1
talkes,1
oh,81
passe,5
hollow,1
paddocke,1
rowsed,1
them,67
tunes,1
guiltlesse,1
confine,2
kin,15
stoode,1
answered,1
rankly,1
dar,2
enemies,2
shewes,7
persons,2
truncheons,1
rauen,1
vncle,3
who,42
property,3
theater,1
lawful,1
passion,11
appointment,1
ha,27
admirable,1
sergeant,1
natur,1
saluation,2
fellow,9
warlicke,1
yes,5
indeauour,1
according,2
rough,1
lobby,2
west,1
method,2
surmise,1
leisure,1
turfe,1
deuotions,1
aduenturous,1
sore,3
skyish,1
deuis,1
celestiall,2
side,2
recorder,2
withdraw,3
maruellous,1
gore,1
rose,4
fares,2
braue,3
sings,4
deckt,1
releefe,1
vnskilfull,1
scarse,1
ban,1
builde,1
patient,3
more,89
commission,5
church,2
easinesse,2
speake,55
painted,2
people,1
camell,2
songs,2
reasons,1
contraction,1
alacke,3
built,1
merit,2
fixion,1
historie,1
yea,4
solicited,1
course,5
doom,1
peake,1
wisenesse,1
gentleman,9
praying,1
lawes,1
hurts,1
1,4
assume,3
vttered,1
foule,12
wearing,1
adiew,1
authorities,1
sicke,4
enquire,1
fruite,1
resolutes,1
crowne,6
heereafter,1
daggers,2
checking,1
aboue,4
mars,2
essentially,1
wide,4
vice,3
fishmonger,2
stronger,4
vanisht,1
poysoning,1
walkt,1
possession,1
fertile,1
mortall,4
pleas,2
spend,1
shoo,1
knee,1
wel,2
envenom,3
vnrung,1
repentance,1
whet,1
behauior,1
boudge,1
girdle,1
audience,5
buriall,5
threats,1
cutpurse,1
fetters,1
lookt,2
straight,3
daysies,1
deiect,1
deluer,1
shrow,1
qu,62
destroy,2
winters,1
highest,1
armours,1
wait,2
try,5
inobled,3
asleepe,1
pastorall,3
should,56
weapons,1
conuenience,1
happes,1
betime,1
remorse,1
bloudie,1
hand,19
duls,1
heares,2
vnite,1
stroakes,1
tush,2
vtterance,1
no,137
shamefull,1
co,1
excrements,1
ioyntresse,1
ouerlook,1
slips,1
digested,1
nine,2
years,1
performe,1
amisse,1
sleepes,4
push,1
least,3
forthwith,1
meaning,1
nunnery,4
fortinbras,13
receiu,3
bloodie,1
strong,4
restrain,1
clownes,2
synod,1
mettels,1
below,2
horrible,4
lecture,1
contract,1
blister,1
laine,1
forgiue,2
small,1
wondrous,2
wheele,3
killes,3
hees,1
roman,1
earth,21
bleede,1
honie,1
proclaimes,2
tenures,1
bringing,1
vnsifted,1
thaw,1
vnshaken,1
dugge,1
indirections,1
lids,1
calmes,1
props,1
whereof,2
hecuba,4
appeare,3
dally,1
lines,3
vouchsafe,3
sinnewes,1
delay,2
confusion,1
mixture,1
shrill,1
greeues,1
hoorded,1
rots,1
knew,5
obsequious,1
y,3
emphasis,1
exprest,1
succession,2
shuffling,2
iulius,1
remaines,3
darke,1
murderer,2
censure,3
center,1
bunghole,1
parching,1
thereto,1
worke,9
blinde,1
sourse,2
yon,1
forcing,1
spight,1
wonted,2
opposing,1
memory,7
vnfortified,1
fine,9
iest,3
fennell,1
idle,4
mouth,7
brauery,1
yeares,2
surprized,1
barre,1
allies,1
solid,1
hoboyes,1
quicknesse,1
neighbor,1
trip,1
terrible,1
seen,2
courtier,3
line,1
land,5
thankes,9
hit,5
incenst,1
embracing,1
greeting,1
point,5
spring,3
soueraigne,3
instant,4
kinne,1
flattering,1
crafty,1
tryalls,1
spies,1
whoreson,1
steepe,1
core,1
food,1
deserue,1
awhile,4
mindes,1
rapsidie,1
beard,6
pyrate,1
houses,2
horse,4
quarrell,1
angle,1
bonny,1
her,95
reade,2
beshrew,1
repugnant,1
safe,2
erring,1
obstinate,1
herod,1
faiery,1
twere,10
grow,7
prophanely,1
crash,1
tickled,1
brands,1
honourable,3
neyther,2
meant,4
carries,1
present,3
birth,2
asking,2
harsh,2
heed,1
muddied,1
mining,1
might,30
wings,2
outherod,1
knife,1
shelfe,1
clambring,1
gramercy,1
recklesse,1
takes,7
appeares,3
sixteene,1
competent,1
offended,3
ah,2
greefes,2
eye,14
courteous,1
tenants,1
shippe,1
tardy,1
feather,1
collection,2
corporall,1
acquire,1
rosin,43
fro,2
harlots,1
a,511
pastime,2
for,245
teares,8
sound,7
greeued,1
visit,4
outward,3
wrought,1
commandment,1
tristfull,1
vnreclaim,1
foyles,5
whereto,4
violl,1
foole,6
de,2
familiar,1
mazard,1
pated,1
sable,2
coniunctiue,1
cups,1
stake,1
storie,1
quietus,1
transforme,1
pendant,1
document,1
stomacke,1
swathing,1
orewhelm,1
spilt,1
shoone,1
brothers,9
deed,8
clouds,3
maiden,2
flaxen,1
publike,1
especial,1
betoken,1
nemian,1
gain,1
customary,1
prophane,1
sea,6
prize,1
pernicious,1
allowance,2
hop,1
contracted,1
crawling,1
quarry,1
conclusions,1
cerments,1
money,1
monday,1
signet,1
instance,1
politician,1
feed,3
