blms_id,blms_parcel,blms_loc_no,blms_loc_street,blms_dba,bldt_lic_text2,bldt_lic_text3,bldt_lic_text6,bldt_lic_text7,xcoord,ycoord,geom
10461,210763200,938,MAPLE AV,MAPLE CAFE,FOOD - CLASS 2,CAFE',SEATING CAPACITY 75,LIQUOR,1017095,828043,"(41.733622187991, -72.687368854962)"
10639,268355025,1,STATE ST,JONI'S CHILD CARE,FOOD - CLASS 2,DAY CARE,SEATING CAPACITY 96,,1021638,840577,"(41.768008813963, -72.670682471208)"
14283,268351016,30,STATE HOUSE SQ,GHMS LLC DBA STATE HOUSE VARIETY,FOOD - CLASS 1,VARIETY,,,1021372,840042,"(41.766541293702, -72.671659314372)"
10942,245338094,1,CIVIC CENTER PLAZA,BAR 1 PIZZA,FOOD - CLASS 4,SNACK BAR,SEATING CAPACITY 15000,LIQUOR,1020084,840394,"(41.767510385961, -72.676379474519)"
17198,198214159,714,ALBANY AV,J & D MARKET 2,FOOD - CLASS 4,,,,1016814,844608,"(41.779081763287, -72.688355062626)"
17368,244290104,1214,MAIN ST,DUNKIN DONUTS PARK - SCREAMING GOAT,FOOD - CLASS 3,,,,1020655,841827,"(41.771441574375, -72.674281797024)"
10691,306124007,145,WEST SERVICE RD,MYNX CABARET,FOOD - CLASS 3,CAFE',SEATING CAPACITY 157,LIQUOR,1025296,848694,"(41.790274021504, -72.657241560961)"
10886,421008002,20,CHURCH ST,CHURCH & MAIN DELICATESSEN,FOOD - CLASS 3,DELICATESSAN,SEATING CAPACITY 44,,1020842,840854,"(41.7687709461, -72.673599436611)"
11035,242247071,1870,MAIN ST,FAMILY DOLLAR STORE #25565,FOOD - CLASS 1,VARIETY,,,1020256,845156,"(41.780578192116, -72.675733984112)"
17699,177251005,148,WOODLAND ST,TEJEDA GROCERY STORE INC,FOOD - CLASS 2,,,,1014117,843860,"(41.777033907709, -72.698244676181)"
10147,316694004,76,BRAINARD RD,MCDONALD'S BRAINARD ROAD,FOOD - CLASS 3,RESTAURANT,SEATING CAPACITY 3,,1024701,829869,"(41.738614774064, -72.659495677465)"
16907,265074019,61,SAVITT WAY,XFINITY THEATRE SAT C,FOOD - CLASS 3,,,,1022030,845022,"(41.780206093184, -72.669230304122)"
15105,159399029,1594,PARK ST,"THE NEW CORNER DELI GROCERY, LLC",FOOD - CLASS 2,,,,1012298,836805,"(41.75767584911, -72.70492692963)"
