word,count
whom,4
nickname,1
besmerch,1
tumbled,1
foot,2
tinct,1
humanity,1
sicke,4
grandsire,1
befalne,1
charge,7
maruell,1
readinesse,1
prowd,1
sute,1
vpspring,1
familiar,1
co,1
food,1
actor,3
preuent,2
forgery,1
withdrew,1
confin,1
drabbing,1
breaths,1
abhominably,1
freely,5
modestie,4
gape,1
sanctity,1
maruels,1
de,2
parchment,1
betoken,1
haunt,1
coniuring,1
forc,2
sterrill,1
do,104
thunder,2
woe,8
fore,3
forg,1
armour,2
furnish,1
potently,1
girle,1
accounted,1
woo,4
won,1
rare,1
warning,1
inclin,1
wot,1
punisht,1
which,60
needs,6
ee,3
image,4
signifie,2
em,2
sancturize,1
challice,1
inexplicable,1
vnmanly,1
shriuing,1
profound,2
marble,1
neede,3
knife,1
piece,1
laboured,1
burst,3
carry,3
inuentors,1
foe,2
cutpurse,1
mazard,1
foh,1
frame,4
carue,1
origin,1
for,245
content,3
fox,1
leige,1
teare,3
vnhouzzled,1
perhaps,5
rate,1
skill,3
trouble,1
gaue,7
harlots,1
contrary,1
contend,1
attended,1
tragedians,1
potion,1
vncharge,1
appeares,3
thence,4
go,48
counter,1
kept,4
encrease,1
rash,3
dally,1
coagulate,1
ha,27
gate,2
trespasse,1
he,202
encountred,1
withdraw,3
drab,1
very,49
feather,1
whipt,1
veyled,1
practice,3
placed,1
whips,2
ho,6
cheeke,2
poland,1
battlements,1
limed,1
foul,1
flourish,4
fra,1
william,1
else,13
easily,1
drag,1
if,114
burnt,1
french,5
releeued,1
bakers,1
portall,1
talkes,1
likely,2
fro,2
issue,2
in,400
illium,1
index,1
is,328
it,419
distraction,2
drinkes,2
acted,1
steele,3
sconce,1
shakespeare,1
courtesie,1
seuerall,1
crafty,1
peake,1
lunacie,1
frends,1
lawful,1
vnction,2
fortinbras,13
barbary,2
parragon,1
cosin,3
barbars,1
orbe,1
seemes,8
strings,1
sphere,1
vnproportion,1
dire,1
customary,1
sending,2
melodious,1
flushing,1
busines,1
shelfe,1
delight,3
pioner,1
remembrance,3
sadly,1
roaming,1
polake,1
beteene,1
dipt,1
knew,5
draw,9
off,19
obserue,3
gramercy,1
equall,2
knee,1
vndertake,2
cousen,1
euer,13
disposition,5
places,1
turnes,2
slender,1
la,2
euen,21
vntimely,1
enemie,1
oft,10
nipping,1
greeted,1
receiu,3
lt,2
smot,1
while,16
ly,1
second,10
lockes,1
that,377
edge,3
picked,1
me,228
vnwatch,1
torches,1
saluation,2
cheefe,2
thaw,1
yeares,2
plum,1
months,1
author,2
cowards,1
puft,1
dirt,2
reway,1
feeling,1
my,502
termes,3
villanous,1
license,1
eldest,1
perchance,5
dream,1
coap,1
dish,1
ne,3
noble,16
charme,1
scoene,2
scoena,1
bride,1
no,137
treads,1
draughts,1
heau,2
perusall,1
passionate,2
student,1
hammes,1
dreames,4
tardie,1
seal,5
heraldry,1
lonelinesse,1
vnnaturall,4
voltemand,3
ardure,1
illusion,1
preparations,1
head,26
whine,1
of,610
oh,81
peale,1
murthers,1
mightier,1
fight,3
on,131
obiect,1
op,1
pretty,2
purpos,1
or,103
determine,1
robustious,1
publike,1
burne,2
whilst,3
tyrannically,1
wrought,1
fye,2
pe,1
painting,1
prenominate,1
lands,4
kisses,3
reserue,1
luxury,1
easier,1
answerest,1
obsequies,1
heraldrie,1
sitting,1
quaintly,1
horatio,40
landlesse,1
nation,2
